player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League,role,prog_carries_90_any,prog_passes_rec_90_any,prog_passes_90_any,yc_90,rc_90,fwd_score,mf_score,df_score,gk_score,fwd_rank,mf_rank,df_rank,gk_rank,_market_value_eur,fwd_underrated,mf_underrated,df_underrated,gk_underrated,fwd_underrated_rank,mf_underrated_rank,df_underrated_rank,gk_underrated_rank
Marc Casado,Spain,20,36,2443.0,27.1,1.0,6.0,7.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,1.8,3.3,18.0,154.0,35.0,0.04,0.22,0.26,0.04,0.26,0.06,0.07,0.13,0.06,0.13,2024-25 La Liga Champion,,,,,,,2.47,75.67,90.0,6.02,0.71,1.3,3.05,1.04,1.17,1.21,0.46,,,,,,,,Defensive Midfield,14.09.2003 (21),"1,72m",right,€30.00m,Barcelona,La Liga,MF,0.71,1.3,6.02,0.18450184501845018,0.03690036900369004,,-0.3850455251591411,,,,19.0,,,30000000.0,,-1.2834850838638036e-08,,,,21.0,,
Eric García,Spain,23,45,2119.0,23.5,5.0,3.0,8.0,5.0,0.0,0.0,4.0,1.0,3.4,3.4,1.0,4.5,20.0,131.0,28.0,0.21,0.13,0.34,0.21,0.34,0.17,0.05,0.22,0.17,0.22,3x Domestic League Champion,1.51,2.31,0.85,1.32,2.31,1.46,,,,,,,,,,,,,,,,,,,Centre-Back,09.01.2001 (24),"1,82m",right,€18.00m,Barcelona,La Liga,DF,0.851063829787234,1.51,5.574468085106383,0.1702127659574468,0.0425531914893617,,,0.32993307191587895,,,,8.0,,18000000.0,,,1.832961510643772e-08,,,,4.0,
Fermin López,Spain,21,46,2051.0,22.8,8.0,9.0,17.0,8.0,0.0,0.0,6.0,1.0,7.4,7.4,5.8,13.2,42.0,94.0,147.0,0.35,0.39,0.75,0.35,0.75,0.4,0.31,0.71,0.4,0.71,2024-25 La Liga Champion,,,,,,,3.75,46.29,82.0,4.94,2.26,7.61,1.49,0.31,0.98,0.36,0.46,,,,,,,,Attacking Midfield,11.05.2003 (22),"1,74m",right,€50.00m,Barcelona,La Liga,MF,2.26,7.61,4.94,0.2631578947368421,0.043859649122807015,,-0.04089118646437929,,,,11.0,,,50000000.0,,-8.178237292875858e-10,,,,11.0,,
Iñaki Peña,Spain,25,23,1968.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,67.2,0.3,0.0,30.0,2.7,5.07,22.2,Goalkeeper,02.03.1999 (26),"1,84m",right,€8.00m,Barcelona,La Liga,GK,0.0,0.0,0.13698630136986303,0.04566210045662101,0.0,,,,-0.5069379638363636,,,,7.0,8000000.0,,,,-6.336724547954544e-08,,,,8.0
Ferrán Torres,Spain,24,45,1933.0,21.5,19.0,7.0,26.0,19.0,0.0,0.0,2.0,1.0,11.0,11.0,3.6,14.6,25.0,43.0,129.0,0.88,0.33,1.21,0.88,1.21,0.65,0.21,0.86,0.65,0.86,3x Domestic League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,29.02.2000 (25),"1,84m",right,€40.00m,Barcelona,La Liga,FWD,1.1627906976744187,6.0,2.0,0.09302325581395349,0.046511627906976744,0.7291657278703809,,,,6.0,,,,40000000.0,1.8229143196759523e-08,,,,2.0,,,
Dani Olmo,Spain,26,39,1927.0,21.4,12.0,6.0,18.0,10.0,2.0,2.0,1.0,0.0,8.8,7.2,3.9,11.1,45.0,114.0,133.0,0.56,0.28,0.84,0.47,0.75,0.48,0.22,0.69,0.39,0.61,5x Domestic League Champion,,,,,,,5.05,47.07,80.8,6.17,2.39,7.39,1.28,0.21,0.53,0.64,0.85,,,,,,,,Attacking Midfield,07.05.1998 (27),"1,79m",right,€60.00m,Barcelona,La Liga,MF,2.39,7.39,6.17,0.04672897196261683,0.0,,0.25376109692441073,,,,7.0,,,60000000.0,,4.229351615406846e-09,,,,6.0,,
Gerard Martín,Spain,22,42,1805.0,20.1,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,3.0,3.5,16.0,58.0,164.0,0.05,0.3,0.35,0.05,0.35,0.03,0.19,0.21,0.03,0.21,2024-25 La Liga Champion,9.95,1.91,1.3,1.3,2.78,1.05,,,,,,,,,,,,,,,,,,,Left-Back,26.02.2002 (23),"1,86m",left,€12.00m,Barcelona,La Liga,DF,0.7960199004975124,9.95,2.8855721393034823,0.1990049751243781,0.0,,,0.6978494510366255,,,,2.0,,12000000.0,,,5.8154120919718794e-08,,,,1.0,
Gavi,Spain,19,42,1691.0,18.8,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,1.1,1.1,1.7,2.9,17.0,88.0,57.0,0.16,0.11,0.27,0.16,0.27,0.08,0.11,0.19,0.08,0.19,2x La Liga Champion,,,,,,,3.2,64.05,89.7,5.88,1.15,3.64,2.56,0.64,1.34,0.7,1.73,,,,,,,,Central Midfield,05.08.2004 (20),"1,73m",right,€60.00m,Barcelona,La Liga,MF,1.15,3.64,5.88,0.3191489361702127,0.0,,0.0,,,,,,,60000000.0,,0.0,,,,,,
Ronald Araújo,Uruguay,25,25,1562.0,17.4,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,0.4,1.9,6.0,59.0,3.0,0.12,0.12,0.23,0.12,0.23,0.1,0.03,0.13,0.1,0.13,2x La Liga Champion,0.26,1.58,0.86,1.32,4.41,3.75,,,,,,,,,,,,,,,,,,,Centre-Back,07.03.1999 (26),"1,92m",right,€35.00m,Barcelona,La Liga,DF,0.3448275862068966,0.26,3.3908045977011496,0.2298850574712644,0.0,,,0.0,,,,,,35000000.0,,,0.0,,,,,
Marc-André ter Stegen,Germany,32,9,764.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2022-23 La Liga Best Player, 5x La Liga Champion, 2014-15 Champions League Champion",,,,,,,,,,,,,,,,,,69.0,0.24,0.0,14.3,10.1,2.94,17.4,Goalkeeper,30.04.1992 (33),"1,87m",right,€12.00m,Barcelona,La Liga,GK,0.0,0.0,0.23529411764705882,0.0,0.0,,,,0.0,,,,,12000000.0,,,,0.0,,,,
Héctor Fort,Spain,17,20,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,14.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.16,0.04,0.16,2024-25 La Liga Champion,5.39,2.27,0.99,1.7,2.55,0.43,,,,,,,,,,,,,,,,,,,Right-Back,02.08.2006 (18),"1,85m",right,€10.00m,Barcelona,La Liga,DF,1.9444444444444444,5.39,3.888888888888889,0.2777777777777778,0.0,,,0.0,,,,,,10000000.0,,,0.0,,,,,
Pablo Torre,Spain,21,14,425.0,4.7,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.6,5.0,19.0,22.0,0.85,0.64,1.48,0.85,1.48,0.21,0.21,0.42,0.21,0.42,2x La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,03.04.2003 (22),"1,73m",right,€6.00m,Barcelona,La Liga,MF,1.0638297872340425,4.680851063829787,4.042553191489362,0.0,0.0,,0.0,,,,,,,6000000.0,,0.0,,,,,,
Pau Victor,Spain,22,29,397.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,1.1,4.1,6.0,14.0,30.0,0.45,0.23,0.68,0.45,0.68,0.76,0.27,1.03,0.76,1.03,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,26.11.2001 (23),"1,84m",right,€4.00m,Barcelona,La Liga,FWD,1.3636363636363635,6.8181818181818175,3.1818181818181817,0.6818181818181818,0.0,0.0,,,,,,,,4000000.0,0.0,,,,,,,
Ansu Fati,Spain,21,11,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.1,8.0,11.0,36.0,0.0,0.0,0.0,0.0,0.0,0.32,0.05,0.38,0.32,0.38,2x La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,31.10.2002 (22),"1,78m",right,€5.00m,Barcelona,La Liga,FWD,2.3529411764705883,10.588235294117647,3.235294117647059,0.29411764705882354,0.0,0.0,,,,,,,,5000000.0,0.0,,,,,,,
Andreas Christensen,Denmark,28,6,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,"2x La Liga Champion, 2020-21 Champions League Champion, 2023 Danish Male Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,10.04.1996 (29),"1,87m",right,€12.00m,Barcelona,La Liga,DF,0.3448275862068966,0.3448275862068966,6.206896551724138,1.0344827586206897,0.0,,,0.0,,,,,,12000000.0,,,0.0,,,,,
Marc Bernal,Spain,17,3,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,26.05.2007 (18),"1,93m",left,€5.00m,Barcelona,La Liga,MF,0.0,0.7407407407407407,2.962962962962963,0.7407407407407407,0.0,,0.0,,,,,,,5000000.0,,0.0,,,,,,
Sergi Dominguez,Spain,19,6,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,01.04.2005 (20),"1,91m",right,€1.00m,Barcelona,La Liga,DF,0.0,0.3846153846153846,6.153846153846153,0.3846153846153846,0.0,,,0.0,,,,,,1000000.0,,,0.0,,,,,
Toni Fernández,Spain,16,1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,15.07.2008 (16),"1,75m",left,€3.00m,Barcelona,La Liga,FWD,,,,0.0,0.0,0.0,,,,,,,,3000000.0,0.0,,,,,,,
Andres Cuenca,Spain,17,1,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,11.06.2007 (18),"1,81m",left,€200k,Barcelona,La Liga,DF,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,200000.0,,,0.0,,,,,
Áron Yaakobishvili,Hungary,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,06.03.2006 (19),"1,87m",both,€300k,Barcelona,La Liga,GK,,,,,,,,,0.0,,,,,300000.0,,,,0.0,,,,
Landry Farré,Spain,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,01.01.2007 (18),"1,78m",both,€300k,Barcelona,La Liga,DF,,,,,,,,0.0,,,,,,300000.0,,,0.0,,,,,
Diego Kochen,United States,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,19.03.2006 (19),"1,90m",right,€500k,Barcelona,La Liga,GK,,,,,,,,,0.0,,,,,500000.0,,,,0.0,,,,
Ander Astralaga,Spain,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,03.03.2004 (21),"1,90m",right,€800k,Barcelona,La Liga,GK,,,,,,,,,0.0,,,,,800000.0,,,,0.0,,,,
Noah Darvich,Germany,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,25.09.2006 (18),"1,84m",left,€2.00m,Barcelona,La Liga,MF,,,,,,,0.0,,,,,,,2000000.0,,0.0,,,,,,
Álex Valle,Spain,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25 Scottish Premiership Champion,2.75,2.46,0.72,1.16,3.7,0.65,,,,,,,,,,,,,,,,,,,Left-Back,25.04.2004 (21),"1,78m",left,€6.00m,Barcelona,La Liga,DF,,2.75,,,,,,0.0,,,,,,6000000.0,,,0.0,,,,,
Alexis Olmedo,Spain,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,02.01.2006 (19),"1,87m",right,€200k,Barcelona,La Liga,DF,,,,,,,,0.0,,,,,,200000.0,,,0.0,,,,,
Álvaro Cortés,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,17.03.2005 (20),"1,89m",left,€150k,Barcelona,La Liga,DF,,,,,,,,0.0,,,,,,150000.0,,,0.0,,,,,
Federico Valverde,Uruguay,26,58,4938.0,54.9,9.0,8.0,17.0,9.0,0.0,0.0,5.0,0.0,3.0,3.0,5.8,8.8,90.0,304.0,99.0,0.16,0.15,0.31,0.16,0.31,0.06,0.12,0.19,0.06,0.19,"4x Domestic League Champion, 2x Champions League Champion",2.09,1.59,1.75,1.16,1.68,0.8,,,,,,,,,,,,,,,,,,,Central Midfield,22.07.1998 (26),"1,82m",right,€130.00m,Real Madrid,La Liga,MF,1.639344262295082,2.09,5.537340619307833,0.09107468123861567,0.0,,-0.2291409818448929,,,,17.0,,,130000000.0,,-1.762622937268407e-09,,,,13.0,,
Kylian Mbappé,France,25,55,4532.0,50.4,42.0,4.0,46.0,35.0,7.0,10.0,3.0,1.0,35.0,27.0,8.7,35.7,203.0,175.0,503.0,0.83,0.08,0.91,0.7,0.77,0.79,0.19,0.98,0.61,0.8,"5x Ligue 1 Male Player of the Year, 7x Ligue 1 Champion, 2x Coupe de la Ligue Champion, 2018 World Cup Champion, 4x French Player of the Year, 2022 FIFA World Cup Silver Ball",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,20.12.1998 (26),"1,78m",right,€180.00m,Real Madrid,La Liga,FWD,4.027777777777778,9.980158730158731,3.4722222222222223,0.05952380952380953,0.01984126984126984,0.7442024968011172,,,,4.0,,,,180000000.0,4.134458315561762e-09,,,,7.0,,,
Jude Bellingham,England,21,51,4247.0,47.2,14.0,13.0,27.0,13.0,1.0,2.0,11.0,2.0,15.2,13.7,6.1,19.7,97.0,277.0,190.0,0.3,0.28,0.57,0.28,0.55,0.38,0.15,0.53,0.34,0.5,"2023-24 La Liga Best Player, 2023-24 La Liga Champion, 2023-24 Champions League Champion",,,,,,,3.57,53.26,87.0,6.7,2.42,4.71,2.11,0.99,1.22,0.94,0.99,,,,,,,,Attacking Midfield,29.06.2003 (22),"1,86m",right,€180.00m,Real Madrid,La Liga,MF,2.42,4.71,6.7,0.2330508474576271,0.0423728813559322,,0.19302286951400666,,,,8.0,,,180000000.0,,1.0723492750778148e-09,,,,8.0,,
Aurélien Tchouaméni,France,24,51,4233.0,47.0,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.9,1.9,0.8,2.7,24.0,202.0,15.0,0.04,0.02,0.06,0.04,0.06,0.05,0.02,0.07,0.05,0.07,"2023-24 La Liga Champion, 2023-24 Champions League Champion",0.39,1.73,1.55,1.31,2.84,2.0,,,,,,,,,,,,,,,,,,,Defensive Midfield,27.01.2000 (25),"1,88m",right,€75.00m,Real Madrid,La Liga,MF,0.5106382978723404,0.39,4.297872340425532,0.2127659574468085,0.0,,-0.7587807043786045,,,,22.0,,,75000000.0,,-1.0117076058381393e-08,,,,20.0,,
Thibaut Courtois,Belgium,32,46,4200.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2018 The Best FIFA Men's Goalkeeper, 6x Domestic League Champion, 2021-22 Champions League Champion",,,,,,,,,,,,,,,,,,75.7,0.28,16.7,29.3,6.9,0.37,9.8,Goalkeeper,11.05.1992 (33),"2,00m",left,€20.00m,Real Madrid,La Liga,GK,0.0,0.0,0.0,0.021413276231263382,0.0,,,,0.07596370549273285,,,,3.0,20000000.0,,,,3.798185274636642e-09,,,,
Antonio Rüdiger,Germany,31,49,4098.0,45.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,3.4,3.4,0.8,4.2,27.0,129.0,6.0,0.07,0.0,0.07,0.07,0.07,0.09,0.02,0.11,0.09,0.11,"2023-24 La Liga Champion, 2x Champions League Champion",0.16,0.88,0.35,0.77,3.88,1.25,,,,,,,,,,,,,,,,,,,Centre-Back,03.03.1993 (32),"1,90m",right,€20.00m,Real Madrid,La Liga,DF,0.5934065934065934,0.16,2.8351648351648353,0.15384615384615385,0.02197802197802198,,,-0.6162379725468241,,,,22.0,,20000000.0,,,-3.081189862734121e-08,,,,,
Vinicius Júnior,Brazil,24,51,4073.0,45.3,20.0,14.0,34.0,17.0,3.0,5.0,15.0,1.0,17.0,13.3,11.8,25.1,251.0,113.0,378.0,0.44,0.31,0.75,0.38,0.68,0.46,0.32,0.77,0.36,0.67,"2024 The Best FIFA Men's Player, 3x La Liga Champion, 2x Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,12.07.2000 (24),"1,76m",right,€170.00m,Real Madrid,La Liga,FWD,5.540838852097131,8.344370860927153,2.494481236203091,0.33112582781456956,0.02207505518763797,-0.23192597400271298,,,,13.0,,,,170000000.0,-1.3642704353100764e-09,,,,13.0,,,
Rodrygo,Brazil,23,50,3275.0,36.4,13.0,9.0,22.0,13.0,0.0,0.0,0.0,0.0,6.3,6.2,5.4,11.5,158.0,146.0,353.0,0.36,0.25,0.6,0.36,0.6,0.2,0.17,0.37,0.2,0.37,"3x La Liga Champion, 2x Champions League Champion",,,,,,,4.61,49.73,85.6,4.71,5.08,11.41,1.26,0.5,0.93,0.53,0.4,,,,,,,,Right Winger,09.01.2001 (24),"1,74m",right,€90.00m,Real Madrid,La Liga,FWD,5.08,11.41,4.71,0.0,0.0,-0.5621129428211082,,,,18.0,,,,90000000.0,-6.24569936467898e-09,,,,16.0,,,
