player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Warren Zaïre-Emery,frFRA,18,48,2986.0,33.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,1.8,4.7,64.0,179.0,113.0,0.09,0.06,0.15,0.09,0.15,0.1,0.06,0.16,0.1,0.16,"3x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,2.61,70.24,91.6%,6.37,2.37,4.03,2.2,0.92,1.46,0.88,0.44,,,,,,,,Warren Zaïre-Emery,Central Midfield,08.03.2006 (19),"1,78m",right,€55.00m,PSG,Ligue 1
Lucas Beraldo,brBRA,20,33,2453.0,27.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.4,1.4,10.0,137.0,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,"2x Ligue 1 Champion, 2024-25 Champions League Champion",0.0,1.63,1.05,0.75,2.8,2.17,,,,,,,,,,,,,,,,,,,Lucas Beraldo,Centre-Back,24.11.2003 (21),"1,86m",left,€25.00m,PSG,Ligue 1
Khvicha Kvaratskhelia,geGEO,23,25,1800.0,20.0,7.0,5.0,12.0,7.0,0.0,0.0,1.0,0.0,5.3,5.3,6.4,11.7,104.0,69.0,196.0,0.35,0.25,0.6,0.35,0.6,0.29,0.35,0.64,0.29,0.64,"3x Domestic League Champion, 2024-25 Champions League Champion, 4x Georgian Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Khvicha Kvaratskhelia,Left Winger,12.02.2001 (24),"1,83m",both,€90.00m,PSG,Ligue 1
Gonçalo Ramos,ptPOR,23,41,1675.0,18.6,18.0,6.0,24.0,14.0,4.0,5.0,2.0,0.0,16.3,14.0,3.0,16.9,14.0,26.0,68.0,0.97,0.32,1.29,0.75,1.07,1.15,0.21,1.36,0.98,1.19,"3x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Gonçalo Ramos,Centre-Forward,20.06.2001 (24),"1,85m",right,€40.00m,PSG,Ligue 1
Lucas Hernández,frFRA,28,25,1221.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,6.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,"6x Domestic League Champion, 2x Champions League Champion, 2018 World Cup Champion",0.6,2.22,0.77,1.28,3.75,1.45,,,,,,,,,,,,,,,,,,,Lucas Hernández,Left-Back,14.02.1996 (29),"1,84m",left,€25.00m,PSG,Ligue 1
Senny Mayulu,frFRA,18,29,1083.0,12.0,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,2.1,5.2,30.0,49.0,59.0,0.42,0.25,0.66,0.42,0.66,0.33,0.22,0.55,0.33,0.55,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,4.09,50.56,87.3%,5.14,3.15,6.19,2.73,0.52,0.84,1.26,0.1,,,,,,,,Senny Mayulu,Central Midfield,17.05.2006 (19),"1,83m",both,€15.00m,PSG,Ligue 1
Marco Asensio,esESP,28,16,753.0,8.4,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,5.8,5.8,2.8,8.6,22.0,38.0,56.0,0.24,0.48,0.72,0.24,0.72,0.69,0.34,1.02,0.69,1.02,"5x Domestic League Champion, 4x Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Marco Asensio,Attacking Midfield,21.01.1996 (29),"1,82m",left,€20.00m,PSG,Ligue 1
Randal Kolo Muani,frFRA,25,14,465.0,5.2,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,5.5,4.7,1.2,5.9,10.0,9.0,48.0,0.39,0.19,0.58,0.19,0.39,1.07,0.23,1.3,0.92,1.14,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Randal Kolo Muani,Centre-Forward,05.12.1998 (26),"1,87m",right,€30.00m,PSG,Ligue 1
Milan Škriniar,skSVK,29,5,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,"3x Domestic League Champion, 4x Slovak Footballer of the Year",0.0,1.52,1.4,1.63,4.66,2.1,,,,,,,,,,,,,,,,,,,Milan Škriniar,Centre-Back,11.02.1995 (30),"1,88m",right,€15.00m,PSG,Ligue 1
Ibrahim Mbaye,frFRA,16,10,354.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,1.1,2.9,15.0,9.0,54.0,0.25,0.25,0.51,0.25,0.51,0.48,0.3,0.78,0.48,0.78,2024-25 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Mbaye,Right Winger,24.01.2008 (17),"1,75m",right,€3.00m,PSG,Ligue 1
Yoram Zague,frFRA,18,6,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,5.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,2023-24 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Yoram Zague,Right-Back,15.05.2006 (19),"1,68m",right,€2.50m,PSG,Ligue 1
Axel Tapé,frFRA,16,3,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,Axel Tape,Centre-Back,10.08.2007 (17),"1,80m",right,€2.00m,PSG,Ligue 1
Arnau Tenas,esESP,23,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.21,0.21,0.0,0.21,2023-24 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Arnau Tenas,Goalkeeper,30.05.2001 (24),"1,85m",right,€3.00m,PSG,Ligue 1
Presnel Kimpembe,frFRA,28,5,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6x Ligue 1 Champion, 2x Coupe de la Ligue Champion, 2018 World Cup Champion",,,,,,,,,,,,,,,,,,,,,,,,,Presnel Kimpembe,Centre-Back,13.08.1995 (29),"1,83m",left,€5.00m,PSG,Ligue 1
Noham Kamara,frFRA,17,2,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Noham Kamara,Centre-Back,22.01.2007 (18),"1,83m",right,€500k,PSG,Ligue 1
Naoufel El Hannach,maMAR,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naoufel El Hannach,Centre-Back,07.12.2006 (18),"1,83m",right,-,PSG,Ligue 1
Louis Mouquet,ptPOR,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louis Mouquet,Goalkeeper,21.07.2004 (20),"1,87m",right,-,PSG,Ligue 1
Carlos Soler,esESP,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2x Ligue 1 Champion,,,,,,,3.26,42.73,85.2%,3.58,1.09,2.36,1.02,0.51,1.21,1.34,0.64,,,,,,,,Carlos Soler,Central Midfield,02.01.1997 (28),"1,80m",right,€18.00m,PSG,Ligue 1
Wassim Slama,frFRA,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wassim Slama,Attacking Midfield,26.09.2008 (16),-,,-,PSG,Ligue 1
