player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Cody Gakpo,nlNED,25,49,2690.0,29.9,18.0,6.0,24.0,17.0,1.0,1.0,5.0,0.0,9.7,8.9,5.8,14.7,80.0,68.0,327.0,0.6,0.2,0.8,0.57,0.77,0.38,0.23,0.61,0.35,0.58,"2024-25 Premier League Champion, 2021-22 Netherlands Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Cody Gakpo,Left Winger,07.05.1999 (26),"1,93m",right,€70.00m,Liverpool,Premier League
Curtis Jones,engENG,23,46,2438.0,27.1,3.0,6.0,9.0,3.0,0.0,0.0,3.0,1.0,4.7,4.7,3.0,7.7,44.0,135.0,103.0,0.11,0.22,0.33,0.11,0.33,0.21,0.14,0.34,0.21,0.34,2x Premier League Champion,,,,,,,2.9,57.15,92.7%,5.97,1.9,4.45,1.95,0.39,1.21,0.48,0.73,,,,,,,,Curtis Jones,Central Midfield,30.01.2001 (24),"1,85m",right,€45.00m,Liverpool,Premier League
Darwin Núñez,uyURU,25,47,2058.0,22.9,7.0,5.0,12.0,7.0,0.0,0.0,9.0,0.0,8.6,8.6,1.8,10.5,35.0,39.0,114.0,0.31,0.22,0.52,0.31,0.52,0.5,0.1,0.6,0.5,0.6,"2x Domestic League Champion, 2021-22 Portuguese Best Player",,,,,,,,,,,,,,,,,,,,,,,,,Darwin Núñez,Centre-Forward,24.06.1999 (26),"1,87m",right,€45.00m,Liverpool,Premier League
Diogo Jota,ptPOR,27,37,1831.0,20.3,9.0,3.0,12.0,9.0,0.0,0.0,2.0,0.0,8.9,8.9,2.0,10.8,39.0,45.0,99.0,0.44,0.15,0.59,0.44,0.59,0.56,0.12,0.68,0.56,0.68,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Diogo Jota,Centre-Forward,04.12.1996 (28),"1,78m",right,€40.00m,Liverpool,Premier League
Caoimhín Kelleher,ieIRL,25,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,69.5%,0.32,100.0%,46.7%,4.6%,1.27,15.2,Caoimhín Kelleher,Goalkeeper,23.11.1998 (26),"1,88m",right,€20.00m,Liverpool,Premier League
Conor Bradley,nirNIR,21,29,1391.0,15.5,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.7,2.7,44.0,44.0,54.0,0.0,0.26,0.26,0.0,0.26,0.09,0.15,0.24,0.09,0.24,2024-25 Premier League Champion,4.78,2.12,0.44,1.06,3.19,1.24,,,,,,,,,,,,,,,,,,,Conor Bradley,Right-Back,09.07.2003 (21),"1,81m",right,€30.00m,Liverpool,Premier League
Jarell Quansah,engENG,21,25,1298.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,5.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09,2024-25 Premier League Champion,0.66,1.45,1.32,1.59,4.76,1.06,,,,,,,,,,,,,,,,,,,Jarell Quansah,Centre-Back,29.01.2003 (22),"1,90m",right,€20.00m,Liverpool,Premier League
Wataru Endo,jpJPN,31,32,879.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Wataru Endo,Defensive Midfield,09.02.1993 (32),"1,78m",right,€8.00m,Liverpool,Premier League
Joe Gomez,engENG,27,17,876.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,7.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,"2x Premier League Champion, 2018-19 Champions League Champion",0.68,2.05,1.23,1.77,4.09,1.5,,,,,,,,,,,,,,,,,,,Joe Gomez,Centre-Back,23.05.1997 (28),"1,88m",right,€20.00m,Liverpool,Premier League
Harvey Elliott,engENG,21,28,838.0,9.3,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,2.4,2.4,1.1,3.6,13.0,53.0,40.0,0.54,0.32,0.86,0.54,0.86,0.42,0.19,0.61,0.42,0.61,2024-25 Premier League Champion,,,,,,,4.48,64.76,81.5%,8.8,2.16,6.64,0.83,0.66,1.33,0.83,0.17,,,,,,,,Harvey Elliott,Attacking Midfield,04.04.2003 (22),"1,70m",left,€30.00m,Liverpool,Premier League
Federico Chiesa,itITA,26,14,470.0,5.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,7.0,7.0,20.0,0.38,0.19,0.57,0.38,0.57,0.21,0.07,0.28,0.21,0.28,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Federico Chiesa,Right Winger,25.10.1997 (27),"1,75m",right,€14.00m,Liverpool,Premier League
Tyler Morton,engENG,21,5,260.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.35,0.35,0.0,0.35,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Morton,Defensive Midfield,31.10.2002 (22),"1,85m",right,€7.00m,Liverpool,Premier League
James McConnell,engENG,19,4,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,James McConnell,Central Midfield,13.09.2004 (20),-,,€2.00m,Liverpool,Premier League
Trey Nyoni,engENG,17,5,226.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Nyoni,Central Midfield,30.06.2007 (18),"1,80m",right,€4.50m,Liverpool,Premier League
Jayden Danns,engENG,18,4,117.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,0.0,0.77,0.0,0.77,0.77,0.77,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,Jayden Danns,Centre-Forward,16.01.2006 (19),"1,83m",right,€800k,Liverpool,Premier League
Vitezslav Jaros,czCZE,23,2,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-24 Austrian Bundesliga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Vitezslav Jaros,Goalkeeper,23.07.2001 (23),"1,90m",right,€4.00m,Liverpool,Premier League
Rio Ngumoha,engENG,15,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio Ngumoha,Left Winger,29.08.2008 (16),"1,70m",right,-,Liverpool,Premier League
Isaac Mabaya,engENG,19,1,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isaac Mabaya,Right-Back,22.09.2004 (20),-,right,-,Liverpool,Premier League
Amara Nallo,engENG,17,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Amara Nallo,Centre-Back,18.11.2006 (18),"1,86m",both,€1.00m,Liverpool,Premier League
Kieran Morrison,nirNIR,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kieran Morrison,Attacking Midfield,09.11.2006 (18),"1,80m",left,-,Liverpool,Premier League
Harvey Davies,engENG,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvey Davies,Goalkeeper,03.09.2003 (21),"1,90m",left,€500k,Liverpool,Premier League
James Norris,engENG,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Norris,Left-Back,04.04.2003 (22),"1,72m",left,€150k,Liverpool,Premier League
Ranel Young,engENG,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranel Young,Right Winger,26.12.2005 (19),-,,-,Liverpool,Premier League
