player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Marc Casado,Spain,20,36,2443.0,27.1,1.0,6.0,7.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,1.8,3.3,18.0,154.0,35.0,0.04,0.22,0.26,0.04,0.26,0.06,0.07,0.13,0.06,0.13,2024-25 La Liga Champion,,,,,,,2.47,75.67,90.0%,6.02,0.71,1.3,3.05,1.04,1.17,1.21,0.46,,,,,,,,Defensive Midfield,14.09.2003 (21),"1,72m",right,€30.00m,Barcelona,La Liga
Eric García,Spain,23,45,2119.0,23.5,5.0,3.0,8.0,5.0,0.0,0.0,4.0,1.0,3.4,3.4,1.0,4.5,20.0,131.0,28.0,0.21,0.13,0.34,0.21,0.34,0.17,0.05,0.22,0.17,0.22,3x Domestic League Champion,1.51,2.31,0.85,1.32,2.31,1.46,,,,,,,,,,,,,,,,,,,Centre-Back,09.01.2001 (24),"1,82m",right,€18.00m,Barcelona,La Liga
Fermin López,Spain,21,46,2051.0,22.8,8.0,9.0,17.0,8.0,0.0,0.0,6.0,1.0,7.4,7.4,5.8,13.2,42.0,94.0,147.0,0.35,0.39,0.75,0.35,0.75,0.4,0.31,0.71,0.4,0.71,2024-25 La Liga Champion,,,,,,,3.75,46.29,82.0%,4.94,2.26,7.61,1.49,0.31,0.98,0.36,0.46,,,,,,,,Attacking Midfield,11.05.2003 (22),"1,74m",right,€50.00m,Barcelona,La Liga
Iñaki Peña,Spain,25,23,1968.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,67.2%,0.3,0.0%,30.0%,2.7%,5.07,22.2,Goalkeeper,02.03.1999 (26),"1,84m",right,€8.00m,Barcelona,La Liga
Ferrán Torres,Spain,24,45,1933.0,21.5,19.0,7.0,26.0,19.0,0.0,0.0,2.0,1.0,11.0,11.0,3.6,14.6,25.0,43.0,129.0,0.88,0.33,1.21,0.88,1.21,0.65,0.21,0.86,0.65,0.86,3x Domestic League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,29.02.2000 (25),"1,84m",right,€40.00m,Barcelona,La Liga
Dani Olmo,Spain,26,39,1927.0,21.4,12.0,6.0,18.0,10.0,2.0,2.0,1.0,0.0,8.8,7.2,3.9,11.1,45.0,114.0,133.0,0.56,0.28,0.84,0.47,0.75,0.48,0.22,0.69,0.39,0.61,5x Domestic League Champion,,,,,,,5.05,47.07,80.8%,6.17,2.39,7.39,1.28,0.21,0.53,0.64,0.85,,,,,,,,Attacking Midfield,07.05.1998 (27),"1,79m",right,€60.00m,Barcelona,La Liga
Gerard Martín,Spain,22,42,1805.0,20.1,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,3.0,3.5,16.0,58.0,164.0,0.05,0.3,0.35,0.05,0.35,0.03,0.19,0.21,0.03,0.21,2024-25 La Liga Champion,9.95,1.91,1.3,1.3,2.78,1.05,,,,,,,,,,,,,,,,,,,Left-Back,26.02.2002 (23),"1,86m",left,€12.00m,Barcelona,La Liga
Gavi,Spain,19,42,1691.0,18.8,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,1.1,1.1,1.7,2.9,17.0,88.0,57.0,0.16,0.11,0.27,0.16,0.27,0.08,0.11,0.19,0.08,0.19,2x La Liga Champion,,,,,,,3.2,64.05,89.7%,5.88,1.15,3.64,2.56,0.64,1.34,0.7,1.73,,,,,,,,Central Midfield,05.08.2004 (20),"1,73m",right,€60.00m,Barcelona,La Liga
Ronald Araújo,Uruguay,25,25,1562.0,17.4,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,0.4,1.9,6.0,59.0,3.0,0.12,0.12,0.23,0.12,0.23,0.1,0.03,0.13,0.1,0.13,2x La Liga Champion,0.26,1.58,0.86,1.32,4.41,3.75,,,,,,,,,,,,,,,,,,,Centre-Back,07.03.1999 (26),"1,92m",right,€35.00m,Barcelona,La Liga
Marc-André ter Stegen,Germany,32,9,764.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2022-23 La Liga Best Player, 5x La Liga Champion, 2014-15 Champions League Champion",,,,,,,,,,,,,,,,,,69.0%,0.24,0.0%,14.3%,10.1%,2.94,17.4,Goalkeeper,30.04.1992 (33),"1,87m",right,€12.00m,Barcelona,La Liga
Héctor Fort,Spain,17,20,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,14.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.16,0.04,0.16,2024-25 La Liga Champion,5.39,2.27,0.99,1.7,2.55,0.43,,,,,,,,,,,,,,,,,,,Right-Back,02.08.2006 (18),"1,85m",right,€10.00m,Barcelona,La Liga
Pablo Torre,Spain,21,14,425.0,4.7,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.6,5.0,19.0,22.0,0.85,0.64,1.48,0.85,1.48,0.21,0.21,0.42,0.21,0.42,2x La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,03.04.2003 (22),"1,73m",right,€6.00m,Barcelona,La Liga
Pau Victor,Spain,22,29,397.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,1.1,4.1,6.0,14.0,30.0,0.45,0.23,0.68,0.45,0.68,0.76,0.27,1.03,0.76,1.03,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,26.11.2001 (23),"1,84m",right,€4.00m,Barcelona,La Liga
Ansu Fati,Spain,21,11,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.1,8.0,11.0,36.0,0.0,0.0,0.0,0.0,0.0,0.32,0.05,0.38,0.32,0.38,2x La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,31.10.2002 (22),"1,78m",right,€5.00m,Barcelona,La Liga
Andreas Christensen,Denmark,28,6,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,"2x La Liga Champion, 2020-21 Champions League Champion, 2023 Danish Male Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,10.04.1996 (29),"1,87m",right,€12.00m,Barcelona,La Liga
Marc Bernal,Spain,17,3,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,26.05.2007 (18),"1,93m",left,€5.00m,Barcelona,La Liga
Sergi Dominguez,Spain,19,6,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,01.04.2005 (20),"1,91m",right,€1.00m,Barcelona,La Liga
Toni Fernández,Spain,16,1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,15.07.2008 (16),"1,75m",left,€3.00m,Barcelona,La Liga
Andres Cuenca,Spain,17,1,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,11.06.2007 (18),"1,81m",left,€200k,Barcelona,La Liga
Áron Yaakobishvili,Hungary,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,06.03.2006 (19),"1,87m",both,€300k,Barcelona,La Liga
Landry Farré,Spain,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,01.01.2007 (18),"1,78m",both,€300k,Barcelona,La Liga
Diego Kochen,United States,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,19.03.2006 (19),"1,90m",right,€500k,Barcelona,La Liga
Ander Astralaga,Spain,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,03.03.2004 (21),"1,90m",right,€800k,Barcelona,La Liga
Noah Darvich,Germany,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,25.09.2006 (18),"1,84m",left,€2.00m,Barcelona,La Liga
Álex Valle,Spain,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25 Scottish Premiership Champion,2.75,2.46,0.72,1.16,3.7,0.65,,,,,,,,,,,,,,,,,,,Left-Back,25.04.2004 (21),"1,78m",left,€6.00m,Barcelona,La Liga
Alexis Olmedo,Spain,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,02.01.2006 (19),"1,87m",right,€200k,Barcelona,La Liga
Álvaro Cortés,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,17.03.2005 (20),"1,89m",left,€150k,Barcelona,La Liga
Federico Valverde,Uruguay,26,58,4938.0,54.9,9.0,8.0,17.0,9.0,0.0,0.0,5.0,0.0,3.0,3.0,5.8,8.8,90.0,304.0,99.0,0.16,0.15,0.31,0.16,0.31,0.06,0.12,0.19,0.06,0.19,"4x Domestic League Champion, 2x Champions League Champion",2.09,1.59,1.75,1.16,1.68,0.8,,,,,,,,,,,,,,,,,,,Central Midfield,22.07.1998 (26),"1,82m",right,€130.00m,Real Madrid,La Liga
Kylian Mbappé,France,25,55,4532.0,50.4,42.0,4.0,46.0,35.0,7.0,10.0,3.0,1.0,35.0,27.0,8.7,35.7,203.0,175.0,503.0,0.83,0.08,0.91,0.7,0.77,0.79,0.19,0.98,0.61,0.8,"5x Ligue 1 Male Player of the Year, 7x Ligue 1 Champion, 2x Coupe de la Ligue Champion, 2018 World Cup Champion, 4x French Player of the Year, 2022 FIFA World Cup Silver Ball",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,20.12.1998 (26),"1,78m",right,€180.00m,Real Madrid,La Liga
Jude Bellingham,England,21,51,4247.0,47.2,14.0,13.0,27.0,13.0,1.0,2.0,11.0,2.0,15.2,13.7,6.1,19.7,97.0,277.0,190.0,0.3,0.28,0.57,0.28,0.55,0.38,0.15,0.53,0.34,0.5,"2023-24 La Liga Best Player, 2023-24 La Liga Champion, 2023-24 Champions League Champion",,,,,,,3.57,53.26,87.0%,6.7,2.42,4.71,2.11,0.99,1.22,0.94,0.99,,,,,,,,Attacking Midfield,29.06.2003 (22),"1,86m",right,€180.00m,Real Madrid,La Liga
Aurélien Tchouaméni,France,24,51,4233.0,47.0,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.9,1.9,0.8,2.7,24.0,202.0,15.0,0.04,0.02,0.06,0.04,0.06,0.05,0.02,0.07,0.05,0.07,"2023-24 La Liga Champion, 2023-24 Champions League Champion",0.39,1.73,1.55,1.31,2.84,2.0,,,,,,,,,,,,,,,,,,,Defensive Midfield,27.01.2000 (25),"1,88m",right,€75.00m,Real Madrid,La Liga
Thibaut Courtois,Belgium,32,46,4200.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2018 The Best FIFA Men's Goalkeeper, 6x Domestic League Champion, 2021-22 Champions League Champion",,,,,,,,,,,,,,,,,,75.7%,0.28,16.7%,29.3%,6.9%,0.37,9.8,Goalkeeper,11.05.1992 (33),"2,00m",left,€20.00m,Real Madrid,La Liga
Antonio Rüdiger,Germany,31,49,4098.0,45.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,3.4,3.4,0.8,4.2,27.0,129.0,6.0,0.07,0.0,0.07,0.07,0.07,0.09,0.02,0.11,0.09,0.11,"2023-24 La Liga Champion, 2x Champions League Champion",0.16,0.88,0.35,0.77,3.88,1.25,,,,,,,,,,,,,,,,,,,Centre-Back,03.03.1993 (32),"1,90m",right,€20.00m,Real Madrid,La Liga
Vinicius Júnior,Brazil,24,51,4073.0,45.3,20.0,14.0,34.0,17.0,3.0,5.0,15.0,1.0,17.0,13.3,11.8,25.1,251.0,113.0,378.0,0.44,0.31,0.75,0.38,0.68,0.46,0.32,0.77,0.36,0.67,"2024 The Best FIFA Men's Player, 3x La Liga Champion, 2x Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,12.07.2000 (24),"1,76m",right,€170.00m,Real Madrid,La Liga
Rodrygo,Brazil,23,50,3275.0,36.4,13.0,9.0,22.0,13.0,0.0,0.0,0.0,0.0,6.3,6.2,5.4,11.5,158.0,146.0,353.0,0.36,0.25,0.6,0.36,0.6,0.2,0.17,0.37,0.2,0.37,"3x La Liga Champion, 2x Champions League Champion",,,,,,,4.61,49.73,85.6%,4.71,5.08,11.41,1.26,0.5,0.93,0.53,0.4,,,,,,,,Right Winger,09.01.2001 (24),"1,74m",right,€90.00m,Real Madrid,La Liga
Lucas Vázquez,Spain,33,50,3232.0,35.9,2.0,7.0,9.0,2.0,0.0,0.0,9.0,1.0,2.0,2.0,5.7,7.7,44.0,124.0,241.0,0.06,0.19,0.25,0.06,0.25,0.06,0.19,0.25,0.06,0.25,"4x La Liga Champion, 5x Champions League Champion",7.86,2.32,0.85,0.91,1.57,0.23,,,,,,,,,,,,,,,,,,,Right-Back,01.07.1991 (33),"1,73m",right,€3.00m,Real Madrid,La Liga
Raúl Asencio,Spain,21,41,3063.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.6,0.8,8.0,34.0,6.0,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,,0.22,1.27,0.71,0.67,4.17,1.3,,,,,,,,,,,,,,,,,,,Centre-Back,13.02.2003 (22),"1,84m",right,€40.00m,Real Madrid,La Liga
Fran Garcia,Spain,24,47,2873.0,31.9,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2.1,2.9,86.0,132.0,197.0,0.0,0.13,0.13,0.0,0.13,0.03,0.08,0.11,0.03,0.11,"2023-24 La Liga Champion, 2023-24 Champions League Champion",7.27,2.18,1.29,1.07,2.77,0.7,,,,,,,,,,,,,,,,,,,Left-Back,14.08.1999 (25),"1,69m",left,€18.00m,Real Madrid,La Liga
Luka Modrić,Croatia,38,56,2854.0,31.7,4.0,9.0,13.0,4.0,0.0,0.0,11.0,0.0,1.7,1.7,8.5,10.2,73.0,271.0,77.0,0.13,0.28,0.41,0.13,0.41,0.06,0.31,0.37,0.06,0.37,"2018 Ballon d'Or, 2018 The Best FIFA Men's Player, 2017-18 UEFA Men's Player of the Year, 5x Domestic League Champion, 6x Champions League Champion, 13x Croatian Footballer of the Year",,,,,,,5.56,95.52,88.1%,9.79,2.69,2.83,1.55,1.4,0.7,0.92,0.26,,,,,,,,Central Midfield,09.09.1985 (39),"1,72m",right,€4.00m,Real Madrid,La Liga
Ferland Mendy,France,29,31,2238.0,24.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,0.7,1.2,18.0,59.0,62.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.06,0.02,0.06,"3x La Liga Champion, 2x Champions League Champion",2.8,1.2,0.6,0.85,0.7,0.25,,,,,,,,,,,,,,,,,,,Left-Back,08.06.1995 (30),"1,80m",left,€14.00m,Real Madrid,La Liga
Brahim Díaz,Morocco,24,51,2169.0,24.1,6.0,6.0,12.0,6.0,0.0,0.0,1.0,0.0,6.7,6.7,4.3,11.0,58.0,96.0,143.0,0.25,0.25,0.5,0.25,0.5,0.33,0.21,0.54,0.33,0.54,"4x Domestic League Champion, 2023-24 Champions League Champion",,,,,,,3.43,44.03,86.2%,4.54,2.8,6.71,1.59,0.48,0.82,0.14,0.19,,,,,,,,Right Winger,03.08.1999 (25),"1,70m",both,€40.00m,Real Madrid,La Liga
Eduardo Camavinga,France,21,34,2023.0,22.5,2.0,2.0,4.0,2.0,0.0,0.0,9.0,1.0,0.5,0.5,1.4,1.9,33.0,86.0,36.0,0.09,0.09,0.18,0.09,0.18,0.03,0.08,0.11,0.03,0.11,"2x La Liga Champion, 2x Champions League Champion",,,,,,,2.48,60.88,89.8%,4.84,1.86,2.03,3.83,1.52,1.86,2.31,1.52,,,,,,,,Central Midfield,10.11.2002 (22),"1,82m",left,€60.00m,Real Madrid,La Liga
Dani Ceballos,Spain,27,40,1956.0,21.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,2.3,2.7,46.0,185.0,19.0,0.0,0.09,0.09,0.0,0.09,0.02,0.13,0.15,0.02,0.15,"2x La Liga Champion, 3x Champions League Champion",,,,,,,4.0,94.5,94.4%,10.28,2.56,1.06,3.17,0.89,1.17,1.0,0.11,,,,,,,,Central Midfield,07.08.1996 (28),"1,79m",right,€10.00m,Real Madrid,La Liga
Arda Güler,Turkey,19,42,1781.0,19.8,5.0,8.0,13.0,5.0,0.0,0.0,1.0,0.0,3.7,3.7,5.9,9.6,40.0,108.0,93.0,0.25,0.4,0.66,0.25,0.66,0.24,0.38,0.62,0.24,0.62,2023-24 La Liga Champion,,,,,,,6.0,64.11,85.9%,6.97,2.58,6.0,2.07,0.52,1.23,0.58,0.52,,,,,,,,Attacking Midfield,25.02.2005 (20),"1,75m",left,€45.00m,Real Madrid,La Liga
Andriy Lunin,Ukraine,25,14,1320.0,14.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.1,0.1,0.0,0.1,"2023-24 La Liga Champion, 2023-24 Champions League Champion",,,,,,,,,,,,,,,,,,68.8%,0.34,0.0%,44.4%,7.7%,1.67,14.8,Goalkeeper,11.02.1999 (26),"1,91m",right,€18.00m,Real Madrid,La Liga
Éder Militão,Brazil,26,17,1309.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,9.0,58.0,2.0,0.07,0.07,0.14,0.07,0.14,0.06,0.05,0.12,0.06,0.12,"3x La Liga Champion, 2x Champions League Champion",0.16,1.59,1.36,1.43,2.79,1.99,,,,,,,,,,,,,,,,,,,Centre-Back,18.01.1998 (27),"1,86m",right,€30.00m,Real Madrid,La Liga
Endrick,Brazil,18,37,863.0,9.6,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,3.5,3.5,1.0,4.5,13.0,11.0,42.0,0.73,0.0,0.73,0.73,0.73,0.62,0.18,0.8,0.62,0.8,2x Série A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,21.07.2006 (18),"1,73m",left,€35.00m,Real Madrid,La Liga
David Alaba,Austria,32,14,601.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,"11x Domestic League Champion, 4x Champions League Champion, 10x Austrian Footballer of the Year",1.83,0.55,1.28,1.46,2.01,0.91,,,,,,,,,,,,,,,,,,,Centre-Back,24.06.1992 (33),"1,80m",left,€6.00m,Real Madrid,La Liga
Jacobo Ramón,Spain,19,5,307.0,3.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,0.0,1.0,2.0,0.29,0.0,0.29,0.29,0.29,0.11,0.08,0.19,0.11,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,06.01.2005 (20),"1,96m",right,€1.00m,Real Madrid,La Liga
Jesús Vallejo,Spain,27,4,138.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,1.0,0.0,0.65,0.65,0.0,0.65,0.0,0.08,0.08,0.0,0.08,2021-22 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,05.01.1997 (28),"1,84m",right,€1.00m,Real Madrid,La Liga
