player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Marc Bernal,esESP,17,3,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,Marc Bernal,Defensive Midfield,26.05.2007 (18),"1,93m",left,€5.00m,Barcelona,La Liga
Sergi Dominguez,esESP,19,6,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Sergi Domínguez,Centre-Back,01.04.2005 (20),"1,91m",right,€1.00m,Barcelona,La Liga
Toni Fernández,esESP,16,1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toni Fernández,Right Winger,15.07.2008 (16),"1,75m",left,€3.00m,Barcelona,La Liga
Andres Cuenca,esESP,17,1,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Andrés Cuenca,Centre-Back,11.06.2007 (18),"1,81m",left,€200k,Barcelona,La Liga
Áron Yaakobishvili,huHUN,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Áron Yaakobishvili,Goalkeeper,06.03.2006 (19),"1,87m",both,€300k,Barcelona,La Liga
Landry Farré,esESP,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landry Farré,Right-Back,01.01.2007 (18),"1,78m",both,€300k,Barcelona,La Liga
Diego Kochen,usUSA,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diego Kochen,Goalkeeper,19.03.2006 (19),"1,90m",right,€500k,Barcelona,La Liga
Ander Astralaga,esESP,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ander Astralaga,Goalkeeper,03.03.2004 (21),"1,90m",right,€800k,Barcelona,La Liga
Noah Darvich,deGER,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noah Darvich,Attacking Midfield,25.09.2006 (18),"1,84m",left,€2.00m,Barcelona,La Liga
Álex Valle,esESP,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25 Scottish Premiership Champion,2.75,2.46,0.72,1.16,3.7,0.65,,,,,,,,,,,,,,,,,,,Álex Valle,Left-Back,25.04.2004 (21),"1,78m",left,€6.00m,Barcelona,La Liga
Alexis Olmedo,esESP,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexis Olmedo,Centre-Back,02.01.2006 (19),"1,87m",right,€200k,Barcelona,La Liga
Álvaro Cortés,esESP,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álvaro Cortés,Centre-Back,17.03.2005 (20),"1,89m",left,€150k,Barcelona,La Liga
