player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Mikel Merino,esESP,28,44,2640.0,29.3,9.0,5.0,14.0,9.0,0.0,0.0,5.0,1.0,7.0,6.9,3.3,10.2,16.0,102.0,123.0,0.31,0.17,0.48,0.31,0.48,0.26,0.12,0.38,0.26,0.38,,,,,,,,2.35,32.29,77.8%,3.81,0.6,4.59,2.5,0.78,1.01,1.42,3.06,,,,,,,,Mikel Merino,Central Midfield,22.06.1996 (29),"1,89m",left,€35.00m,Arsenal,Premier League
Bukayo Saka,engENG,22,37,2609.0,29.0,12.0,13.0,25.0,10.0,2.0,3.0,5.0,0.0,11.2,8.9,10.9,19.8,139.0,88.0,341.0,0.41,0.45,0.86,0.34,0.79,0.41,0.39,0.8,0.32,0.72,,,,,,,,5.15,36.65,74.3%,3.06,4.93,11.95,1.62,0.36,1.08,0.43,0.36,,,,,,,,Bukayo Saka,Right Winger,05.09.2001 (23),"1,78m",left,€150.00m,Arsenal,Premier League
Myles Lewis-Skelly,engENG,17,39,2303.0,25.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,0.3,0.3,1.0,1.2,44.0,95.0,44.0,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06,,2.03,1.29,0.46,0.46,1.61,0.55,,,,,,,,,,,,,,,,,,,Myles Lewis-Skelly,Left-Back,26.09.2006 (18),"1,78m",left,€45.00m,Arsenal,Premier League
Jakub Kiwior,plPOL,24,30,2160.0,24.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,1.1,1.4,7.0,70.0,2.0,0.04,0.08,0.12,0.04,0.12,0.01,0.05,0.07,0.01,0.07,,0.1,1.76,0.43,0.86,3.56,1.05,,,,,,,,,,,,,,,,,,,Jakub Kiwior,Centre-Back,15.02.2000 (25),"1,89m",left,€28.00m,Arsenal,Premier League
Ben White,engENG,26,26,1533.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.5,2.1,28.0,88.0,54.0,0.0,0.12,0.12,0.0,0.12,0.04,0.09,0.12,0.04,0.12,,3.09,1.49,1.13,0.95,3.27,1.43,,,,,,,,,,,,,,,,,,,Ben White,Right-Back,08.10.1997 (27),"1,86m",right,€45.00m,Arsenal,Premier League
Riccardo Calafiori,itITA,22,29,1496.0,16.6,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,1.5,1.5,1.3,2.8,30.0,67.0,39.0,0.18,0.12,0.3,0.18,0.3,0.1,0.09,0.18,0.1,0.18,,2.48,2.48,1.03,1.09,2.55,1.76,,,,,,,,,,,,,,,,,,,Riccardo Calafiori,Left-Back,19.05.2002 (23),"1,88m",left,€35.00m,Arsenal,Premier League
Jorginho,itITA,32,27,1455.0,16.2,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.8,0.1,0.6,0.6,13.0,65.0,11.0,0.06,0.0,0.06,0.0,0.0,0.07,0.05,0.13,0.01,0.06,"2020-21 UEFA Men's Player of the Year, 2020-21 Champions League Champion",,,,,,,3.21,86.92,89.8%,9.09,0.53,0.94,1.87,2.01,0.67,0.4,0.67,,,,,,,,Jorginho,Defensive Midfield,20.12.1991 (33),"1,80m",right,€6.00m,Arsenal,Premier League
Ethan Nwaneri,engENG,17,37,1387.0,15.4,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,1.9,1.9,1.6,3.5,56.0,39.0,129.0,0.58,0.13,0.71,0.58,0.71,0.15,0.13,0.28,0.15,0.28,,,,,,,,2.65,40.38,79.3%,3.14,4.5,10.38,1.37,0.16,0.97,0.48,0.32,,,,,,,,Ethan Nwaneri,Attacking Midfield,21.03.2007 (18),"1,76m",left,€55.00m,Arsenal,Premier League
Gabriel Jesus,brBRA,27,27,1207.0,13.4,7.0,2.0,9.0,7.0,0.0,0.0,5.0,0.0,4.4,4.4,1.1,5.5,21.0,24.0,93.0,0.52,0.15,0.67,0.52,0.67,0.45,0.12,0.57,0.45,0.57,"5x Domestic League Champion, 2016 Brazil Golden Ball",,,,,,,2.62,30.35,76.6%,2.51,2.09,9.73,1.67,0.63,1.99,0.94,1.47,,,,,,,,Gabriel Jesus,Centre-Forward,03.04.1997 (28),"1,75m",right,€32.00m,Arsenal,Premier League
Raheem Sterling,engENG,29,28,1147.0,12.7,1.0,5.0,6.0,1.0,0.0,1.0,5.0,0.0,3.0,2.2,1.3,3.5,39.0,23.0,107.0,0.08,0.39,0.47,0.08,0.47,0.33,0.15,0.48,0.24,0.39,"4x Premier League Champion, 2018-19 FWA Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Raheem Sterling,Right Winger,08.12.1994 (30),"1,70m",right,€10.00m,Arsenal,Premier League
Oleksandr Zinchenko,uaUKR,27,23,795.0,8.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.8,1.7,11.0,65.0,27.0,0.11,0.11,0.23,0.11,0.23,0.11,0.1,0.21,0.11,0.21,4x Premier League Champion,3.45,0.83,0.55,1.24,1.24,1.93,,,,,,,,,,,,,,,,,,,Oleksandr Zinchenko,Left-Back,15.12.1996 (28),"1,75m",left,€20.00m,Arsenal,Premier League
Kieran Tierney,sctSCO,27,20,456.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.5,1.9,10.0,22.0,36.0,0.2,0.0,0.2,0.2,0.2,0.08,0.36,0.44,0.08,0.44,4x Scottish Premiership Champion,,,,,,,,,,,,,,,,,,,,,,,,,Kieran Tierney,Left-Back,05.06.1997 (28),"1,80m",left,€9.00m,Arsenal,Premier League
Jack Porter,engENG,16,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Porter,Goalkeeper,15.07.2008 (16),"1,87m",right,€400k,Arsenal,Premier League
Tommy Setford,engENG,18,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Setford,Goalkeeper,13.03.2006 (19),"1,85m",right,-,Arsenal,Premier League
Josh Nichols,engENG,18,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Nichols,Right-Back,26.07.2006 (18),-,,-,Arsenal,Premier League
Neto,brBRA,35,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17 Serie A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Neto,Goalkeeper,19.07.1989 (35),"1,90m",right,€1.50m,Arsenal,Premier League
Maldini Kacurri,alALB,18,1,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maldini Kacurri,Centre-Back,04.10.2005 (19),"1,89m",,€300k,Arsenal,Premier League
Ayden Heaven,engENG,17,1,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayden Heaven,Centre-Back,22.09.2006 (18),"1,89m",left,€5.00m,Arsenal,Premier League
Ismeal Kabia,engENG,18,1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismeal Kabia,Right Winger,10.12.2005 (19),-,right,-,Arsenal,Premier League
Nathan Butler-Oyedeji,engENG,21,2,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,Nathan Butler-Oyedeji,Centre-Forward,04.01.2003 (22),"1,77m",right,€1.00m,Arsenal,Premier League
Takehiro Tomiyasu,jpJPN,25,1,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,Takehiro Tomiyasu,Right-Back,05.11.1998 (26),"1,88m",right,€18.00m,Arsenal,Premier League
Reiss Nelson,engENG,24,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18 Premier League 2 — Division 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Reiss Nelson,Right Winger,10.12.1999 (25),"1,75m",right,€16.00m,Arsenal,Premier League
Alexei Rojas,coCOL,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexéi Rojas,Goalkeeper,28.09.2005 (19),"1,87m",right,€250k,Arsenal,Premier League
Brayden Clarke,wlsWAL,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brayden Clarke,Centre-Back,03.07.2007 (17),-,right,-,Arsenal,Premier League
Aaron Ramsdale,engENG,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6%,0.32,28.6%,10.0%,5.5%,0.67,11.7,Aaron Ramsdale,Goalkeeper,14.05.1998 (27),"1,90m",right,€16.00m,Arsenal,Premier League
Eddie Nketiah,engENG,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-18 Premier League 2 — Division 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Eddie Nketiah,Centre-Forward,30.05.1999 (26),"1,75m",right,€18.00m,Arsenal,Premier League
Zane Monlouis,engENG,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,1.05,1.23,6.13,2.45,,,,,,,,,,,,,,,,,,,Zane Monlouis,Centre-Back,16.10.2003 (21),"1,86m",right,€400k,Arsenal,Premier League
Jack Henry-Francis,ieIRL,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Henry-Francis,Defensive Midfield,23.09.2003 (21),"1,81m",,€200k,Arsenal,Premier League
Josh Robinson,engENG,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Robinson,Right-Back,20.12.2004 (20),-,right,-,Arsenal,Premier League
Michal Rosiak,plPOL,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michal Rosiak,Defensive Midfield,12.10.2005 (19),"1,80m",right,-,Arsenal,Premier League
Jimi Gower,engENG,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimi Gower,Central Midfield,01.10.2004 (20),"1,81m",right,-,Arsenal,Premier League
